,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
0,71,98,514,0,58,0,0,3,55,124,124,111,88,0.352112676056338,0.9859154929577465,0.2676056338028169,0.5352112676056338,0.9859154929577465,1.0,1.0,0.9859154929577465,0.9859154929577465,0.9859154929577465,89.0,26.5,0.0,75
1,71,103,526,0,33,0,0,9,73,122,123,82,49,0.14084507042253522,0.8873239436619719,0.22535211267605634,0.38028169014084506,0.9859154929577465,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,83.0,30.0,0.0,75
2,71,128,521,0,41,0,0,22,80,141,147,110,68,0.2535211267605634,0.9436619718309859,0.38028169014084506,0.5070422535211268,1.0,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,1.0,89.0,39.0,0.0,75
3,71,96,516,0,32,0,0,18,66,94,103,77,59,0.2535211267605634,0.9436619718309859,0.352112676056338,0.5492957746478874,0.9859154929577465,1.0,1.0,0.9859154929577465,1.0,1.0,86.0,28.0,0.0,75
4,70,134,511,0,30,0,0,11,74,112,107,69,52,0.24285714285714285,0.9857142857142858,0.32857142857142857,0.4714285714285714,0.9857142857142858,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,89.0,38.0,0.0,75
5,71,110,542,0,61,0,0,14,69,146,171,131,91,0.19718309859154928,0.9859154929577465,0.30985915492957744,0.5774647887323944,0.9859154929577465,1.0,1.0,0.9859154929577465,1.0,1.0,88.0,22.0,0.0,75
6,70,167,527,0,0,0,0,12,61,110,102,36,8,0.14285714285714285,0.8285714285714286,0.2857142857142857,0.42857142857142855,0.9857142857142858,1.0,1.0,1.0,1.0,0.9857142857142858,89.0,38.0,0.0,75
7,70,109,493,0,49,0,0,0,59,125,156,103,79,0.2714285714285714,1.0,0.17142857142857143,0.3142857142857143,0.9,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,88.0,31.0,0.0,75
8,70,113,535,0,79,0,0,6,60,122,161,116,106,0.22857142857142856,0.9714285714285714,0.35714285714285715,0.5857142857142857,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,1.0,0.9857142857142858,87.0,33.0,0.0,75
9,71,98,505,0,52,0,0,15,62,127,151,95,70,0.14084507042253522,0.971830985915493,0.352112676056338,0.647887323943662,0.9859154929577465,1.0,1.0,1.0,1.0,1.0,87.0,37.0,0.0,75
10,71,99,515,0,77,0,0,6,47,127,157,120,89,0.28169014084507044,0.7887323943661971,0.2535211267605634,0.43661971830985913,0.9859154929577465,1.0,1.0,1.0,0.9859154929577465,0.9859154929577465,88.0,26.0,0.0,75
11,70,156,534,0,40,0,0,6,64,125,144,106,64,0.22857142857142856,0.9428571428571428,0.22857142857142856,0.44285714285714284,0.9857142857142858,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,88.0,37.0,0.0,75
12,70,125,514,0,15,0,0,14,57,118,145,69,39,0.24285714285714285,0.9428571428571428,0.2714285714285714,0.44285714285714284,1.0,1.0,1.0,1.0,0.9857142857142858,1.0,89.0,38.0,0.0,75
13,71,97,510,0,41,0,0,1,65,125,129,87,71,0.18309859154929578,0.9859154929577465,0.2112676056338028,0.4084507042253521,1.0,1.0,1.0,1.0,1.0,0.9859154929577465,89.0,33.0,0.0,75
14,70,113,491,0,50,0,0,0,51,107,113,92,69,0.24285714285714285,0.9428571428571428,0.3,0.4857142857142857,0.9714285714285714,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,84.0,33.0,0.0,75
15,71,120,553,0,70,0,0,7,60,149,148,116,95,0.14084507042253522,0.9859154929577465,0.18309859154929578,0.39436619718309857,1.0,1.0,1.0,0.9859154929577465,1.0,1.0,88.0,36.0,0.0,75
16,71,112,544,0,35,0,0,1,71,129,115,70,51,0.2535211267605634,0.971830985915493,0.39436619718309857,0.5774647887323944,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,89.0,33.0,0.0,75
17,70,110,521,0,8,0,0,10,72,102,100,57,20,0.35714285714285715,0.9142857142857143,0.42857142857142855,0.4857142857142857,1.0,1.0,1.0,0.9857142857142858,1.0,1.0,89.0,34.0,0.0,75
18,70,119,536,0,58,0,0,10,66,130,166,123,96,0.2571428571428571,1.0,0.38571428571428573,0.4714285714285714,1.0,1.0,0.9857142857142858,1.0,0.9857142857142858,1.0,89.0,34.0,0.0,75
19,71,97,498,0,63,0,0,6,54,141,144,96,83,0.14084507042253522,0.8873239436619719,0.2535211267605634,0.36619718309859156,1.0,0.9859154929577465,1.0,1.0,1.0,1.0,86.0,23.0,0.0,75
20,70,70,496,0,78,0,0,5,64,131,157,135,94,0.22857142857142856,0.8428571428571429,0.42857142857142855,0.4,0.9857142857142858,1.0,1.0,1.0,1.0,1.0,88.0,20.0,0.0,75
21,70,101,573,0,91,0,0,9,87,154,180,150,122,0.21428571428571427,0.9714285714285714,0.21428571428571427,0.44285714285714284,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,1.0,89.0,26.0,0.0,75
22,71,95,517,0,78,0,0,6,76,132,143,116,93,0.22535211267605634,0.8450704225352113,0.28169014084507044,0.36619718309859156,1.0,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,1.0,89.0,36.0,0.0,75
23,70,140,544,0,42,0,0,11,66,127,139,101,64,0.15714285714285714,0.9142857142857143,0.37142857142857144,0.5142857142857142,0.9857142857142858,0.9857142857142858,1.0,1.0,0.9857142857142858,1.0,87.0,37.5,0.0,75
24,71,109,556,0,72,0,0,26,93,138,164,127,98,0.22535211267605634,0.9436619718309859,0.29577464788732394,0.5774647887323944,1.0,1.0,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,89.0,28.0,0.0,75
25,70,116,521,0,37,0,0,1,58,119,159,81,54,0.17142857142857143,1.0,0.3,0.5,0.9857142857142858,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,88.0,35.0,0.0,75
26,71,89,512,0,74,0,0,5,52,120,123,104,90,0.2112676056338028,0.9154929577464789,0.3380281690140845,0.5352112676056338,0.9859154929577465,1.0,1.0,0.9859154929577465,0.9859154929577465,1.0,87.0,23.5,0.0,75
27,70,100,524,0,81,0,0,26,77,136,153,117,93,0.2571428571428571,0.9142857142857143,0.34285714285714286,0.5,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,85.0,29.5,0.0,75
28,70,130,511,0,0,0,0,15,55,91,83,35,6,0.24285714285714285,0.7857142857142857,0.32857142857142857,0.45714285714285713,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,1.0,89.0,36.0,0.0,75
29,71,128,550,0,54,0,0,8,63,130,143,100,73,0.22535211267605634,0.8732394366197183,0.22535211267605634,0.4647887323943662,1.0,1.0,1.0,1.0,0.9859154929577465,1.0,85.0,31.0,0.0,75
30,71,71,507,0,77,0,0,7,48,105,150,127,100,0.22535211267605634,0.971830985915493,0.4084507042253521,0.5070422535211268,0.9859154929577465,1.0,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,74.0,24.0,0.0,75
31,71,115,518,0,59,0,0,10,54,119,148,94,75,0.19718309859154928,0.9154929577464789,0.30985915492957744,0.4225352112676056,1.0,1.0,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,87.0,31.5,0.0,75
32,71,128,538,0,39,0,0,17,59,140,146,90,55,0.30985915492957744,0.8732394366197183,0.352112676056338,0.49295774647887325,1.0,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,84.0,37.0,0.0,75
33,70,106,501,0,22,0,0,10,60,131,138,67,38,0.14285714285714285,0.8285714285714286,0.24285714285714285,0.38571428571428573,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,89.0,32.0,0.0,75
34,71,97,537,0,58,0,0,11,53,126,161,133,90,0.2112676056338028,0.9295774647887324,0.39436619718309857,0.39436619718309857,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,1.0,0.9859154929577465,89.0,30.0,0.0,75
35,70,114,522,0,23,0,0,1,54,119,126,66,44,0.2714285714285714,0.9,0.32857142857142857,0.45714285714285713,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,89.0,29.5,0.0,75
36,71,177,541,0,0,0,0,6,75,127,114,85,23,0.22535211267605634,0.9154929577464789,0.28169014084507044,0.4084507042253521,1.0,1.0,0.9859154929577465,1.0,1.0,0.9859154929577465,95.0,41.0,0.0,75
37,70,112,539,0,35,0,0,33,84,142,117,87,61,0.24285714285714285,0.9571428571428572,0.24285714285714285,0.5142857142857142,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,89.0,31.0,0.0,75
38,71,115,530,0,53,0,0,0,75,125,118,94,66,0.22535211267605634,0.8450704225352113,0.36619718309859156,0.39436619718309857,1.0,0.9859154929577465,1.0,1.0,1.0,1.0,88.0,31.5,0.0,75
39,70,158,547,0,7,0,0,6,73,137,120,64,37,0.24285714285714285,0.9571428571428572,0.4,0.5571428571428572,1.0,0.9857142857142858,1.0,0.9857142857142858,1.0,1.0,89.0,41.0,0.0,75
40,70,104,528,0,71,0,0,10,71,135,174,109,85,0.32857142857142857,0.8857142857142857,0.4714285714285714,0.5,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,88.0,27.0,0.0,75
41,71,95,502,0,53,0,0,21,56,125,134,103,78,0.19718309859154928,0.9014084507042254,0.22535211267605634,0.39436619718309857,1.0,1.0,0.9859154929577465,1.0,1.0,0.9859154929577465,89.0,28.0,0.0,75
42,70,85,519,0,86,0,0,3,53,134,158,124,109,0.05714285714285714,0.9428571428571428,0.37142857142857144,0.5142857142857142,1.0,1.0,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,87.0,32.0,0.0,75
43,71,120,501,0,33,0,0,12,45,102,117,72,55,0.16901408450704225,0.971830985915493,0.29577464788732394,0.4084507042253521,0.9859154929577465,1.0,0.9859154929577465,1.0,1.0,1.0,89.0,31.0,0.0,75
44,70,135,553,0,58,0,0,26,66,132,155,117,83,0.24285714285714285,0.8285714285714286,0.44285714285714284,0.6,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,88.0,34.0,0.0,75
45,71,106,501,0,43,0,0,1,56,98,120,91,67,0.2535211267605634,0.9014084507042254,0.5211267605633803,0.647887323943662,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,89.0,32.0,0.0,75
46,70,134,549,0,48,0,0,15,83,125,150,119,81,0.2,1.0,0.5857142857142857,0.6285714285714286,1.0,0.9857142857142858,1.0,0.9857142857142858,1.0,0.9857142857142858,89.0,40.0,0.0,75
47,70,135,506,0,2,0,0,12,66,108,113,64,30,0.34285714285714286,1.0,0.35714285714285715,0.6428571428571429,0.9857142857142858,1.0,1.0,1.0,1.0,1.0,94.0,35.5,0.0,75
48,70,99,504,0,32,0,0,21,62,113,107,63,50,0.17142857142857143,0.8285714285714286,0.42857142857142855,0.4714285714285714,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,1.0,89.0,32.0,0.0,75
49,70,90,502,0,58,0,0,12,48,106,148,114,79,0.18571428571428572,0.9857142857142858,0.4,0.42857142857142855,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,1.0,89.0,30.0,0.0,75
