,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
0,70,133,518,0,0,0,0,16,64,92,109,63,39,0.21428571428571427,1.0,0.4,0.4714285714285714,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,1.0,89.0,40.0,0.0,75
1,70,119,505,0,30,0,0,0,59,113,131,73,58,0.24285714285714285,1.0,0.2,0.4142857142857143,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,1.0,87.0,38.0,0.0,75
2,70,103,536,0,69,0,0,23,77,123,145,123,93,0.2714285714285714,0.9857142857142858,0.38571428571428573,0.6285714285714286,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,88.0,33.0,0.0,75
3,70,130,526,0,34,0,0,5,44,97,140,103,67,0.3,1.0,0.32857142857142857,0.45714285714285713,1.0,1.0,1.0,0.9857142857142858,1.0,1.0,89.0,35.5,0.0,75
4,71,103,554,0,39,0,0,7,66,128,151,98,70,0.14084507042253522,1.0,0.30985915492957744,0.4225352112676056,1.0,0.9859154929577465,1.0,1.0,1.0,1.0,88.0,23.0,0.0,75
5,71,121,528,0,26,0,0,16,63,94,117,90,56,0.2112676056338028,1.0,0.352112676056338,0.43661971830985913,1.0,1.0,1.0,1.0,1.0,1.0,85.0,35.0,0.0,75
6,70,89,496,0,45,0,0,4,44,102,114,80,72,0.17142857142857143,1.0,0.21428571428571427,0.44285714285714284,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,0.9857142857142858,87.0,34.0,0.0,75
7,71,94,542,0,65,0,0,17,66,133,169,111,90,0.23943661971830985,0.9859154929577465,0.2535211267605634,0.4507042253521127,1.0,0.9859154929577465,1.0,1.0,0.9859154929577465,1.0,89.0,17.0,0.0,75
8,71,95,513,0,79,0,0,0,67,142,158,123,98,0.11267605633802817,1.0,0.29577464788732394,0.39436619718309857,0.971830985915493,1.0,1.0,0.9859154929577465,1.0,1.0,73.0,28.0,0.0,75
9,70,73,515,0,73,0,0,8,47,114,149,132,100,0.2571428571428571,1.0,0.35714285714285715,0.4857142857142857,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,84.0,25.0,0.0,75
10,70,108,512,0,50,0,0,0,43,135,150,109,78,0.17142857142857143,0.9857142857142858,0.35714285714285715,0.45714285714285713,0.8857142857142857,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,1.0,86.0,27.0,0.0,75
11,70,97,528,0,32,0,0,10,50,107,109,87,68,0.2857142857142857,1.0,0.42857142857142855,0.4714285714285714,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,89.0,31.0,0.0,75
12,70,78,507,0,65,0,0,0,42,117,137,125,98,0.17142857142857143,1.0,0.2714285714285714,0.3142857142857143,0.8571428571428571,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,85.0,27.0,0.0,75
13,70,149,517,0,0,0,0,15,58,103,116,42,4,0.24285714285714285,0.8,0.4142857142857143,0.5428571428571428,0.9857142857142858,1.0,0.9857142857142858,1.0,0.9857142857142858,1.0,89.0,37.0,0.0,75
14,70,122,509,0,4,0,0,21,71,113,122,75,40,0.21428571428571427,1.0,0.2857142857142857,0.5428571428571428,1.0,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,89.0,27.0,0.0,75
15,71,125,515,0,38,0,0,3,56,117,134,103,68,0.1267605633802817,1.0,0.2535211267605634,0.5211267605633803,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,89.0,46.0,0.0,75
16,71,154,578,0,17,0,0,15,90,147,135,83,58,0.43661971830985913,0.9859154929577465,0.43661971830985913,0.5774647887323944,1.0,1.0,0.9859154929577465,1.0,1.0,1.0,89.0,40.0,0.0,75
17,71,148,570,0,44,0,0,23,88,136,166,112,84,0.16901408450704225,0.9859154929577465,0.4225352112676056,0.39436619718309857,1.0,1.0,1.0,1.0,1.0,0.9859154929577465,89.0,39.0,0.0,75
18,70,123,512,0,4,0,0,0,54,123,123,65,26,0.2,0.9857142857142858,0.32857142857142857,0.5857142857142857,0.9714285714285714,1.0,1.0,0.9857142857142858,1.0,0.9857142857142858,87.0,26.0,0.0,75
19,70,136,515,0,20,0,0,9,70,134,115,84,54,0.14285714285714285,0.9857142857142858,0.24285714285714285,0.4,1.0,0.9857142857142858,1.0,1.0,1.0,1.0,89.0,36.0,0.0,75
20,71,102,502,0,38,0,0,0,58,99,117,82,55,0.19718309859154928,0.9859154929577465,0.22535211267605634,0.36619718309859156,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,1.0,89.0,25.0,0.0,75
21,71,148,506,0,2,0,0,18,87,116,122,60,29,0.15492957746478872,0.9859154929577465,0.3380281690140845,0.4225352112676056,0.9859154929577465,1.0,0.9859154929577465,1.0,1.0,1.0,89.0,45.0,0.0,75
22,71,89,497,0,31,0,0,29,76,98,114,71,51,0.16901408450704225,0.9859154929577465,0.30985915492957744,0.49295774647887325,1.0,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,1.0,87.0,29.0,0.0,75
23,70,154,531,0,0,0,0,6,57,122,149,91,40,0.18571428571428572,0.9857142857142858,0.2857142857142857,0.4714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,94.0,43.0,0.0,75
24,71,76,518,0,71,0,0,12,60,130,130,97,87,0.08450704225352113,0.9859154929577465,0.28169014084507044,0.39436619718309857,1.0,1.0,1.0,1.0,1.0,1.0,88.0,23.0,0.0,75
25,70,147,564,0,9,0,0,12,81,131,139,77,37,0.15714285714285714,1.0,0.35714285714285715,0.5857142857142857,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,1.0,1.0,89.0,35.5,0.0,75
26,71,183,537,0,0,0,0,7,57,121,92,37,0,0.23943661971830985,0.8450704225352113,0.323943661971831,0.5070422535211268,1.0,1.0,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,89.0,42.0,0.0,75
27,70,107,514,0,18,0,0,0,62,110,119,82,52,0.11428571428571428,0.9857142857142858,0.2,0.42857142857142855,1.0142857142857142,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,89.0,36.0,0.0,75
28,70,108,512,0,26,0,0,0,58,104,128,95,53,0.24285714285714285,1.0,0.32857142857142857,0.5428571428571428,0.9285714285714286,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,88.0,32.0,0.0,75
29,70,141,554,0,14,0,0,17,66,129,136,77,47,0.2714285714285714,1.0,0.34285714285714286,0.5285714285714286,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,1.0,89.0,32.0,0.0,75
30,71,132,524,0,5,0,0,0,65,129,147,75,36,0.16901408450704225,1.0,0.3380281690140845,0.4788732394366197,0.971830985915493,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9859154929577465,88.0,33.0,0.0,75
31,71,130,519,0,12,0,0,0,38,101,121,79,34,0.23943661971830985,1.0,0.2535211267605634,0.4788732394366197,0.9154929577464789,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,89.0,33.0,0.0,75
32,70,92,504,0,56,0,0,3,70,133,141,97,75,0.24285714285714285,1.0,0.21428571428571427,0.5,1.0,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,89.0,25.0,0.0,75
33,71,119,503,0,47,0,0,23,52,122,151,105,74,0.18309859154929578,1.0,0.23943661971830985,0.36619718309859156,1.0,1.0,1.0,1.0,1.0,0.9859154929577465,89.0,30.0,0.0,75
34,71,113,522,0,50,0,0,23,65,139,119,87,76,0.18309859154929578,0.9859154929577465,0.36619718309859156,0.6619718309859155,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,88.0,34.0,0.0,75
35,70,102,531,0,80,0,0,18,67,135,167,139,105,0.3142857142857143,1.0,0.32857142857142857,0.4857142857142857,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,88.0,22.0,0.0,75
36,70,101,526,0,46,0,0,0,52,111,142,119,74,0.18571428571428572,0.9857142857142858,0.4,0.5285714285714286,0.9714285714285714,1.0,1.0,1.0,1.0,0.9857142857142858,89.0,37.0,0.0,75
