,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Repair cost,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
0,71,161,615,0,32,0,0,16,87,164,174,120,70,380,0.2535211267605634,1.0,0.39436619718309857,0.5070422535211268,1.0,1.0,1.0,0.9859154929577465,1.0,0.9859154929577465,89.0,43.0,0.0,75
1,70,149,600,0,37,0,0,12,74,149,168,113,73,475,0.32857142857142857,1.0,0.3142857142857143,0.4,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,1.0,89.0,35.0,0.0,75
2,70,223,605,0,0,0,0,24,87,132,109,42,3,475,0.3142857142857143,0.8571428571428571,0.4142857142857143,0.6142857142857143,0.9857142857142858,1.0,1.0,1.0,0.9857142857142858,0.9857142857142858,88.0,49.0,0.0,75
3,70,199,605,0,0,0,0,10,72,124,124,65,27,475,0.2714285714285714,0.8714285714285714,0.34285714285714286,0.5428571428571428,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,89.0,46.0,0.0,75
4,70,160,579,0,30,0,0,23,76,128,145,99,58,475,0.24285714285714285,0.9857142857142858,0.3,0.42857142857142855,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,84.0,39.0,0.0,75
5,140,75,618,0,104,0,0,0,35,134,177,152,127,950,0.10714285714285714,0.9928571428571429,0.2642857142857143,0.38571428571428573,0.8,0.9928571428571429,1.0,0.9928571428571429,0.9928571428571429,0.9928571428571429,82.0,12.0,0.0,150
6,142,72,628,0,98,0,0,0,7,119,172,127,120,760,0.1056338028169014,1.0,0.20422535211267606,0.2605633802816901,0.6549295774647887,0.9929577464788732,0.9929577464788732,0.9929577464788732,0.9929577464788732,1.0,87.0,17.0,0.0,150
7,140,18,588,0,144,0,0,0,14,97,175,174,170,950,0.09285714285714286,1.0,0.2357142857142857,0.3,0.6571428571428571,0.9928571428571429,0.9928571428571429,1.0,1.0,0.9928571428571429,82.0,2.0,0.0,150
8,142,73,614,0,92,0,0,0,22,120,176,145,113,760,0.13380281690140844,1.0,0.176056338028169,0.3028169014084507,0.6971830985915493,0.9929577464788732,1.0,0.9929577464788732,0.9929577464788732,0.9929577464788732,89.0,10.0,0.0,150
9,141,77,584,0,61,0,0,0,3,86,141,133,109,855,0.12056737588652482,1.0,0.23404255319148937,0.2907801418439716,0.5815602836879432,1.0,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,89.0,13.0,0.0,150
10,209,29,599,0,67,0,0,0,0,26,119,96,88,1520,0.08133971291866028,1.0,0.15311004784688995,0.19138755980861244,0.5119617224880383,0.7416267942583732,1.0,0.9952153110047847,1.0,0.9952153110047847,64.0,0.0,0.0,225
11,212,32,597,0,46,0,0,0,0,38,110,99,70,1235,0.06132075471698113,1.0,0.12264150943396226,0.19339622641509435,0.5,0.7028301886792453,1.0,1.0,1.0,0.9952830188679245,89.0,0.0,0.0,225
12,211,36,611,0,66,0,0,0,0,41,131,113,94,1330,0.07109004739336493,0.995260663507109,0.11374407582938388,0.2132701421800948,0.5545023696682464,0.7772511848341233,0.995260663507109,1.0,1.0,1.0,88.0,0.0,0.0,225
13,210,27,635,0,98,0,0,0,0,59,136,145,129,1425,0.0761904761904762,1.0,0.14285714285714285,0.14761904761904762,0.4666666666666667,0.7904761904761904,0.9952380952380953,0.9952380952380953,0.9952380952380953,1.0,87.0,0.0,0.0,225
14,210,22,595,0,75,0,0,0,0,38,108,106,96,1425,0.08095238095238096,1.0,0.16666666666666666,0.23333333333333334,0.5238095238095238,0.8047619047619048,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9952380952380953,83.0,0.0,0.0,225
15,280,0,618,0,61,0,0,0,0,0,60,79,77,1900,0.07142857142857142,1.0,0.08928571428571429,0.14285714285714285,0.3607142857142857,0.6357142857142857,0.9642857142857143,0.9964285714285714,0.9964285714285714,0.9964285714285714,17.0,0.0,0.0,300
16,282,0,617,0,45,0,0,0,0,0,46,57,56,1710,0.07092198581560284,1.0,0.0851063829787234,0.12056737588652482,0.36879432624113473,0.6134751773049646,0.9290780141843972,0.9964539007092199,1.0,1.0,2.0,0.0,0.0,300
17,279,0,597,0,42,0,0,0,0,0,53,66,65,1995,0.043010752688172046,0.996415770609319,0.07885304659498207,0.0967741935483871,0.3118279569892473,0.5125448028673835,0.9032258064516129,1.0,1.0,1.0,24.0,0.0,0.0,300
18,279,10,632,0,53,0,0,0,0,0,78,100,78,1995,0.06451612903225806,1.0,0.12903225806451613,0.16129032258064516,0.3727598566308244,0.5663082437275986,0.956989247311828,0.996415770609319,0.996415770609319,0.996415770609319,80.0,0.0,0.0,300
19,283,0,600,0,21,0,0,0,0,0,35,50,38,1615,0.0706713780918728,1.0,0.13074204946996468,0.17314487632508835,0.3003533568904594,0.5901060070671378,0.8586572438162544,0.9964664310954063,1.0,0.9964664310954063,14.0,0.0,0.0,300
